MeshID	DrugBankIDs
MESH:C013759	DB13672
MESH:C026430	DB13674
MESH:C028098	DB12385
MESH:C418863	DB06813
MESH:C025205	DB02365
MESH:C561234	DB11697
MESH:C466644	DB05317
MESH:C000593258	DB14941
MESH:C431728	DB02492
MESH:C555019	DB05171
MESH:C557705	DB06345
MESH:C000593259	DB12048
MESH:C505222	DB08171
MESH:C020925	DB01549
MESH:C423343	DB11965
MESH:C549342	DB12517
MESH:C559645	DB12467
MESH:C520022	DB05507
MESH:C541789	DB05217
MESH:C000593721	DB11985
MESH:C045575	DB03594
MESH:C478160	DB15051
MESH:C034879	DB02405
MESH:C000621657	DB06140
MESH:C508992	DB08278
MESH:C045889	DB06485
MESH:C039411	DB14199
MESH:C024683	DB01749
MESH:C010942	DB14099
MESH:C519521	DB15197
MESH:C119102	DB14108
MESH:C031263	DB03704
MESH:C535047	DB14589
MESH:C000621967	DB15143
MESH:C404207	DB05422
MESH:C474071	DB05964
MESH:C028491	DB14110
MESH:C103084	DB06656
MESH:C015068	DB12110
MESH:C078415	DB14097
MESH:C433950	DB03841
MESH:C037011	DB13383
MESH:C051360	DB12946
MESH:C555223	DB06297
MESH:C549124	DB13109
MESH:C116318	DB04336
MESH:C006573	DB07373
MESH:C037931	DB13697
MESH:C039681	DB01955
MESH:C545120	DB11687
MESH:C570688	DB12024
MESH:C552956	DB11739
MESH:C549343	DB12214
MESH:D019307	DB07996
MESH:C028372	DB02890
MESH:C022901	DB14963
MESH:C032020	DB05107
MESH:C007297	DB03260
MESH:D019326	DB14570
MESH:D000077713	DB06789
MESH:C448659	DB12442
MESH:C524733	DB05212
MESH:C034765	DB01450
MESH:C103345	DB15096
MESH:C535235	DB05372
MESH:C002828	DB01434
MESH:C532572	DB07342
MESH:C023850	DB13689
MESH:C527477	DB12493
MESH:C042533	DB06410
MESH:C493250	DB08872
MESH:C000620393	DB15214
MESH:C023863	DB02085
MESH:C521407	DB15012
MESH:C017062	DB04581
MESH:C024888	DB02456
MESH:D020001	DB02145
MESH:C000594993	DB12059
MESH:C535237	DB05169
MESH:C109460	DB02496
MESH:D017485	DB03206|DB03955
MESH:C000601954	DB12740
MESH:C017367	DB09010
MESH:C103958	DB13097
MESH:C549926	DB11993
MESH:D015056	DB07954
MESH:C031532	DB04314
MESH:C018100	DB02671
MESH:C525396	DB12827
MESH:C004981	DB01952
MESH:C034182	DB01750
MESH:C044309	DB11220
MESH:D020003	DB12452
MESH:C081906	DB12162
MESH:C034973	DB05456
MESH:C031333	DB07419
MESH:C037320	DB01506
MESH:C011993	DB01539
MESH:D000433	DB03175
MESH:C097396	DB06247
MESH:C520094	DB01481
MESH:C576258	DB11470
MESH:C025813	DB04704
MESH:C083998	DB15243
MESH:C532162	DB11663
MESH:C000596981	DB12566
MESH:C583159	DB12562
MESH:C587250	DB12280
MESH:C029141	DB13111
MESH:C587539	DB11992
MESH:C585906	DB05187
MESH:C019273	DB14083
MESH:C120227	DB12429
MESH:C036697	DB12968
MESH:C539997	DB11864
MESH:C514145	DB05263
MESH:C582924	DB12108
MESH:C520647	DB11747
MESH:C087170	DB01711
MESH:C529054	DB06292
MESH:C588408	DB12914
MESH:C539547	DB05192
MESH:C009135	DB01672
MESH:C454813	DB02923
MESH:C041498	DB07669
MESH:C528514	DB08657
MESH:C558663	DB12848
MESH:C576396	DB15192
MESH:C004554	DB02417
MESH:C079321	DB01537
MESH:C514191	DB12211
MESH:C583616	DB11743
MESH:C492671	DB03509
MESH:C005959	DB03817
MESH:C552103	DB06306
MESH:D019297	DB04528
MESH:C052403	DB15557
MESH:C490707	DB12614
MESH:C012572	DB02969
MESH:C475519	DB15161
MESH:C021224	DB01768
MESH:C085911	DB02656
MESH:C089946	DB11898
MESH:C032006	DB15213
MESH:C513881	DB02172
MESH:C003943	DB01484
MESH:C001014	DB01467
MESH:D004290	DB01528
MESH:C036157	DB01465
MESH:C550539	DB13019
MESH:C016835	DB02163
MESH:C000605149	DB11683
MESH:C568612	DB11957
MESH:C550692	DB15377
MESH:C109064	DB08262
MESH:C548781	DB12424
MESH:C023735	DB02813
MESH:C099328	DB02534
MESH:C012054	DB13659
MESH:C049584	DB08398
MESH:C557875	DB05199
MESH:C492908	DB06082
MESH:C428244	DB04798
MESH:C111046	DB02347
MESH:C073225	DB04533
MESH:C000592181	DB12348
MESH:C461207	DB06368
MESH:C121228	DB01983
MESH:C570662	DB11974
MESH:C072332	DB03058
MESH:C100049	DB02952
MESH:C032416	DB14855
MESH:C027667	DB01726
MESH:C031363	DB02335
MESH:C032038	DB04586
MESH:C043958	DB02606
MESH:C012796	DB04381
MESH:C000588735	DB04175
MESH:C055504	DB02103
MESH:C000596770	DB11833
MESH:C550088	DB12792
MESH:C090034	DB12885
MESH:C030683	DB03110
MESH:C513402	DB13921
MESH:C036137	DB03991
MESH:C020275	DB15302
MESH:C024107	DB03258
MESH:C580896	DB01840
MESH:C007257	DB04457
MESH:C007267	DB03800
MESH:C004726	DB13963
MESH:C021296	DB02249
MESH:C103422	DB11062
MESH:C552098	DB12045
